assigned_integer,belegnummer,product_number,entry_number
12485,12100010,,2.
12485,12100010,"LX-H-400-16-SR, LX-H-400-16",2.41
12485,12100010,"ZU-1009A-F, ZU-1009-F",2.42
12485,12100010,SY-SEIL-6-20-GK,2.43
12485,12100010,SY-SEIL-6-25-GK,2.44
12485,12100010,SY-1007A,2.45
12485,12100010,SY-FL,2.46
12485,12100010,SY-SC,2.47
12485,12100010,SY-1031,2.48
12485,12100010,SY-1009,2.49
12485,12100010,"L3-BE-400, ZU-1009-F",2.50
12485,12100010,,2.51
12485,12100010,MO-1005A,2.52
12485,12100010,PS-DD-SET-5-T,2.53
12485,12100010,PS-HELM-PROFI,2.54
12485,12100010,PS-VB-Y-2,3.40
12485,12100010,"LX-H-400-16-SR, LX-H-400-16",3.41
12485,12100010,"ZU-1009A-F, ZU-1009-F",3.42
12485,12100010,SY-SEIL-6-20-GK,3.43
12485,12100010,SY-SEIL-6-25-GK,3.44
12485,12100010,SY-1007A,3.45
12485,12100010,SY-FL,3.46
12485,12100010,SY-SC,3.47
12485,12100010,SY-1031,3.48
12485,12100010,SY-1009,3.49
12485,12100010,L3-BE-400,3.50
12485,12100010,ZU-1009-F,3.51
12485,12100010,MO-1005A,3.52
12485,12100010,PS-DD-SET-5-T,3.53
12485,12100010,PS-HELM-PROFI,3.54
