assigned_integer,belegnummer,product_number,entry_number
12485,12100010,,2.
12485,12100010,"LX-H-400-16-SR, LX-H-400-16",2.41
12485,12100010,"ZU-1009A-F, ZU-1009-F",2.42
12485,12100010,SY-SEIL-6-20-GK,2.43
12485,12100010,SY-SEIL-6-25-GK,2.44
12485,12100010,SY-1007A,2.45
12485,12100010,SY-FL,2.46
12485,12100010,SY-SC,2.47
12485,12100010,SY-1031,2.48
12485,12100010,SY-1009,2.49
12485,12100010,"L3-BE-400, ZU-1009-F",2.50
12485,12100010,,2.51
12485,12100010,MO-1005A,2.52
12485,12100010,PS-DD-SET-5-T,2.53
12485,12100010,PS-HELM-PROFI,2.54
12485,12100010,PS-VB-Y-2,3.40
12485,12100010,"LX-H-400-16-SR, LX-H-400-16",3.41
12485,12100010,"ZU-1009A-F, ZU-1009-F",3.42
12485,12100010,SY-SEIL-6-20-GK,3.43
12485,12100010,SY-SEIL-6-25-GK,3.44
12485,12100010,SY-1007A,3.45
12485,12100010,SY-FL,3.46
12485,12100010,SY-SC,3.47
12485,12100010,SY-1031,3.48
12485,12100010,SY-1009,3.49
12485,12100010,L3-BE-400,3.50
12485,12100010,ZU-1009-F,3.51
12485,12100010,MO-1005A,3.52
12485,12100010,PS-DD-SET-5-T,3.53
12485,12100010,PS-HELM-PROFI,3.54
43871,12100012,SY-PROSLIDE,02.2
43871,12100012,"SY-TIB-6, NO-933-M16X40, SY-TIFC-6",02.4
43871,12100012,"SY-SEIL-6-50-GK, SY-1007A, SY-FL, SY-1009, MO-1005A",02.5
43871,12100012,PS-DD-SET-10-K,02.6
23516,12100014,,1.1.2
75983,12100015,,1.4.120
75983,12100015,LX-T-400,1.4.130
75983,12100015,PS-1013-23,1.4.140
87439,12100016,,03.27
87439,12100016,L3-BE-500,03.29
87439,12100016,"SY-1000A, SY-1009",03.30
87439,12100016,SY-1031,03.31
87439,12100016,"SY-1007A, SY-FL",03.32
87439,12100016,SY-TIB-6,03.33
87439,12100016,SY-TIFC-6,03.34
87439,12100016,MO-1005A,03.35
29386,12100024,,21.1.
29386,12100024,"LX-H-500-16-SR, NO-TKS-6X30, LX-H-500-16, NO-TKS-6X30",21.3.
29386,12100024,"SY-1010, SY-SEIL-8-10-GK, SY-1000, SY-1000, SY-1000, SY-SEIL-8-35-GK, SY-1007, SY-FL, SY-TIB-8, SY-1031, SY-1009",21.4.
29386,12100024,SY-TIFC-8,21.5.
29386,12100024,MO-1005A,22.2
83276,12100045,LX-SR-HD-500,2.20
83276,12100045,L3-BE-500,2.30
83276,12100045,"SY-SEIL-6-65-GK, SY-1031",2.40
83276,12100045,SY-1007A,2.50
83276,12100045,SY-FL,2.60
83276,12100045,SY-SC,2.70
83276,12100045,SY-1009,2.80
26431,12100046,LX-SR-B-600,2.5.1.2
